paper_id,filename,authors
19826,./Information_Retrieval/Retrieval/http:##www.isi.edu#sims#papers#94-sims-agents.ps,
80992,./Information_Retrieval/Retrieval/http:##www.cis.ohio-state.edu#~ren#tois.ps,
1109936,./Information_Retrieval/Retrieval/ftp:##ftp.cs.umass.edu#pub#techrept#techreport#1996#UM-CS-1996-002.ps,
1152506,./Information_Retrieval/Retrieval/http:##www.cs.cmu.edu#afs#cs#user#alex#docs#idvl#dl97.ps,
1152594,./Information_Retrieval/Retrieval/http:##www.ri.cmu.edu#afs#cs#user#alex#docs#idvl#dl97.ps,
1121282,./Information_Retrieval/Retrieval/file:##ftp.cis.upenn.edu#pub#mickeyc#GleanIPM.ps.gz,
1153684,./Information_Retrieval/Retrieval/http:##c.gp.cs.cmu.edu:5103#afs#cs#user#alex#docs#idvl#dl97.ps,
1152952,./Information_Retrieval/Retrieval/http:##www-cgi.cs.cmu.edu#afs#cs#user#alex#docs#idvl#dl97.ps,
4527,./Information_Retrieval/Retrieval/http:##cobar.cs.umass.edu#pubfiles#riao.ps.gz,
22112,./Information_Retrieval/Retrieval/ftp:##ftp.cs.umass.edu#pub#osl#papers#sigir95.ps.Z,
33991,./Information_Retrieval/Retrieval/http:##cobar.cs.umass.edu#pubfiles#raja.ps.gz,
98029,./Information_Retrieval/Retrieval/http:##www.cs.yale.edu#HTML#YALE#CS#HyPlans#freeman#papers#AAAI#draft.ps,
128796,./Information_Retrieval/Retrieval/http:##www.cs.cmu.edu#~softagents#papers#kbcs96.ps.gz,
138991,./Information_Retrieval/Retrieval/http:##www.cs.cmu.edu#~softagents#papers#mlia96.ps.gz,
249849,./Information_Retrieval/Retrieval/http:##www.clis.umd.edu#dlrg#filter#papers#clirbib.ps,
5050,./Information_Retrieval/Filtering/http:##www.research.att.com#~lewis#papers#lewis95i.ps,
577487,./Information_Retrieval/Retrieval/http:##www.ccs.neu.edu#home#natasha#papers#ismb96.ps,
520640,./Information_Retrieval/Retrieval/http:##www.cs.ust.hk#faculty#dlee#Papers#ir#icde96-www.ps,
29459,./Information_Retrieval/Retrieval/http:##cobar.cs.umass.edu#pubfiles#browncallanedbt94.ps.gz,
1103471,./Information_Retrieval/Retrieval/http:##www.ri.cmu.edu#afs#cs#user#alex#docs#idvl#adl98#adl98.ps,
181487,./Information_Retrieval/Retrieval/http:##cobar.cs.umass.edu#pubfiles#ir-67.ps.gz,
29460,./Information_Retrieval/Retrieval/http:##www.cs.umass.edu#~cahoon#papers#sigir96.ps,
1108185,./Information_Retrieval/Filtering/http:##www.ai.mit.edu#people#hofmann#HofmannCONALD98.ps,
1108525,./Information_Retrieval/Retrieval/http:##www.cs.duke.edu#~mlittman#docs#sigir98-xlang.ps,
1108525,http:##www.cc.gatech.edu#gvu#people#Phd#Doug.Bowman#venue_journal.ps,
1152637,./Information_Retrieval/Retrieval/http:##www.cs.mu.oz.au#tr_db#mu_98_01.ps.gz,
521840,./Information_Retrieval/Filtering/http:##www.research.att.com#~lewis#papers#keim97.ps,
186019,./Information_Retrieval/Retrieval/http:##www-ir.inf.ethz.ch#Public-Web-Pages#sheridan#papers#SIGIR96.ps,
